epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,2134.27,0.70396,0.83381,0.5531,0.8819,0.7325,0.73459,0.78851,0.57696,0.69718,0.69716,0.72989,0.42685,0.7776,0.98799,0.64856,0.89518,0.0003862,0.0003862,0.0003862
64,2168.17,0.71159,0.83641,0.56058,0.88073,0.70574,0.6825,0.73991,0.53748,0.64437,0.59539,0.62047,0.37643,0.77865,1.00735,0.66015,0.89612,0.0003763,0.0003763,0.0003763
65,2202.01,0.70773,0.85615,0.56193,0.88203,0.72352,0.72524,0.75567,0.54655,0.66072,0.61435,0.62152,0.37696,0.77462,0.99356,0.64922,0.89862,0.0003664,0.0003664,0.0003664
66,2235.9,0.70298,0.83881,0.5521,0.88212,0.67986,0.71021,0.74976,0.54315,0.59935,0.6105,0.62043,0.36618,0.78407,0.98288,0.65817,0.90229,0.0003565,0.0003565,0.0003565
67,2269.89,0.70208,0.83543,0.55414,0.88086,0.71485,0.73392,0.74513,0.54404,0.68101,0.62697,0.63529,0.37881,0.77089,0.98836,0.64937,0.9013,0.0003466,0.0003466,0.0003466
68,2304.33,0.70026,0.82759,0.54295,0.88192,0.73842,0.72508,0.76798,0.55473,0.6351,0.64834,0.63448,0.36948,0.77413,1.00812,0.65018,0.89083,0.0003367,0.0003367,0.0003367
69,2338.26,0.70901,0.82669,0.54736,0.88185,0.7455,0.71335,0.77571,0.56604,0.70466,0.64023,0.68488,0.4154,0.77122,0.98064,0.63843,0.89585,0.0003268,0.0003268,0.0003268
70,2372.27,0.70484,0.841,0.54798,0.87958,0.67814,0.75809,0.76266,0.55363,0.59442,0.65097,0.64577,0.38732,0.77413,0.97563,0.64908,0.89872,0.0003169,0.0003169,0.0003169
71,2406.34,0.69571,0.81328,0.53564,0.87434,0.69704,0.74457,0.76436,0.55071,0.65256,0.66789,0.66968,0.38292,0.78099,1.00719,0.67312,0.91156,0.000307,0.000307,0.000307
72,2440.46,0.67664,0.80302,0.51827,0.8756,0.76349,0.67133,0.75412,0.5557,0.70789,0.61833,0.68956,0.38731,0.76415,0.97671,0.64456,0.89897,0.0002971,0.0002971,0.0002971
73,2474.38,0.68813,0.8063,0.53314,0.87672,0.79926,0.69888,0.77699,0.57604,0.72133,0.63,0.68393,0.40425,0.76955,1.00831,0.6549,0.90175,0.0002872,0.0002872,0.0002872
74,2508.61,0.68788,0.80982,0.53565,0.87547,0.71356,0.7152,0.74664,0.5466,0.65033,0.63351,0.65245,0.38452,0.77025,0.9865,0.65151,0.89278,0.0002773,0.0002773,0.0002773
75,2543.05,0.69754,0.80871,0.52994,0.87499,0.73575,0.6547,0.71411,0.52899,0.73732,0.62936,0.6706,0.40152,0.76824,0.97669,0.6496,0.89553,0.0002674,0.0002674,0.0002674
76,2576.94,0.67829,0.82879,0.52261,0.87382,0.77736,0.72334,0.78201,0.56989,0.73064,0.64641,0.69607,0.41739,0.76078,0.98855,0.63324,0.8921,0.0002575,0.0002575,0.0002575
77,2610.88,0.67749,0.80772,0.52207,0.87461,0.76264,0.71075,0.78898,0.57809,0.73465,0.658,0.73469,0.43836,0.76496,0.97223,0.63563,0.8979,0.0002476,0.0002476,0.0002476
78,2644.8,0.67757,0.79766,0.52225,0.87279,0.73626,0.77166,0.78785,0.57123,0.66277,0.69124,0.69808,0.405,0.75875,0.96873,0.63005,0.88863,0.0002377,0.0002377,0.0002377
79,2678.54,0.67133,0.80033,0.51933,0.87346,0.76005,0.70452,0.75786,0.56841,0.70317,0.6689,0.68855,0.42307,0.76898,0.97352,0.65408,0.89222,0.0002278,0.0002278,0.0002278
80,2712.46,0.66407,0.80946,0.51212,0.86871,0.71645,0.69546,0.7328,0.54003,0.65799,0.65051,0.65458,0.38537,0.7634,0.97298,0.65173,0.89265,0.0002179,0.0002179,0.0002179
81,2746.14,0.66881,0.78572,0.50367,0.87046,0.73141,0.68614,0.75691,0.56653,0.73255,0.651,0.70339,0.40205,0.75944,0.99074,0.64044,0.89623,0.000208,0.000208,0.000208
82,2780.09,0.66848,0.81875,0.51495,0.86879,0.75714,0.70092,0.73926,0.54461,0.70875,0.64382,0.67135,0.39711,0.75339,0.97488,0.63671,0.89427,0.0001981,0.0001981,0.0001981
83,2814.31,0.6838,0.79127,0.51176,0.87527,0.77749,0.69323,0.76079,0.55825,0.67672,0.60526,0.64303,0.39045,0.75588,0.96116,0.63003,0.89157,0.0001882,0.0001882,0.0001882
84,2848.32,0.66909,0.79587,0.50174,0.86888,0.7796,0.70355,0.77143,0.56552,0.70028,0.61702,0.66515,0.40476,0.76753,0.98691,0.63649,0.89759,0.0001783,0.0001783,0.0001783
85,2881.2,0.6633,0.79686,0.49531,0.8695,0.80387,0.67657,0.76441,0.57635,0.76481,0.6439,0.70834,0.4218,0.75713,0.96614,0.63374,0.89165,0.0001684,0.0001684,0.0001684
86,2914.02,0.65313,0.77116,0.49261,0.87141,0.76775,0.70903,0.76431,0.5664,0.73919,0.67037,0.70612,0.41945,0.76104,0.97544,0.63244,0.89101,0.0001585,0.0001585,0.0001585
